fpar,nirv,nirvp,lue,lai,glass_lai,apar,norm_nirv_glass,norm_nirv_modis,type,name,Lat,Lon,new_type
0.65875,0.3032801802493985,92.45225054732265,0.04773002069178375,2.0,2.64375,191.8799296875,0.11078972586244755,0.15784200144443156,CRO,DE-Kli,50.8931,13.5224,CRO
0.40625,0.1169450822601235,62.983451422695,0.018447539562938202,0.89,0.94375,220.35355598812498,0.12843771370096996,0.13557215449109705,GRA,AU-Stp,-17.1507,133.3502,GRA
0.51,0.08910152849047076,46.637898827493245,0.0168312816450307,1.2,1.3,263.72386710937496,0.06967154988300381,0.07595826223670452,ENF,US-Me3,44.3154,-121.6078,ENF
0.49124999999999996,0.12153558761524,20.11847995835045,0.0512454724256593,1.0500000625,1.5375,79.23695739886715,0.07681319670401934,0.11721487361132311,ENF,FR-Bil,44.493652,-0.956092,ENF
0.8,0.246721660877802,46.2236921941042,0.0427293315124821,3.4000001,4.1375,153.73533993375,0.06334488334877446,0.069402611445605,MF,US-Syv,46.242,-89.3477,MF
0.33,0.1095174503354345,39.73005515431845,0.040142979310125754,0.71875,1.25,117.227792009948,0.0932701907597692,0.15487649087866506,ENF,US-GLE,41.3665,-106.2399,ENF
0.86,0.200923293541475,44.8571382268383,0.021168245699106,4.37500025,2.325,198.1316259375,0.08687936221100169,0.0445292674508792,CSH,US-KS2,28.6086,-80.6715,CSH
0.6325,0.137457015684612,46.4438135973752,0.0313118822409424,1.8000001,2.6875,216.595494791667,0.05353972242896528,0.074100149476831,ENF,US-Me2,44.4526,-121.5589,ENF
0.72,0.286845872980748,48.9654327496947,0.0651689481370253,2.4000001,3.7,120.948845152097,0.08062696394585754,0.11447652607680806,GRA,AT-Neu,47.1167,11.3175,GRA
0.44125000000000003,0.1094451103723405,38.60216849984165,0.0299555663029683,1.3,1.6,153.9178027083335,0.06677276939761412,0.08473276235244112,ENF,US-Fuf,35.089,-111.762,ENF
0.86375,0.3385015041104495,68.06016527895015,0.05454800187656765,4.687500125,5.2875,176.04076015625,0.06631769999427685,0.07329491800387378,DBF,DE-Lnf,51.3282,10.3678,DBF
0.72,0.124057770897833,17.410588245969,0.0521315316236082,1.816666725,2.025,92.2293192870729,0.056975609756097556,0.057809333046866064,ENF,DE-RuW,50.50493,6.3309627,ENF
0.68,0.14354197477164,24.8791745745525,0.0279238360125129,1.8,1.825,118.33649,0.08296878442893886,0.07755001254068102,ENF,US-Blo,38.8953,-120.6328,ENF
0.3275,0.0972903172737955,42.2683863126972,0.0238251132668262,0.65,0.75,136.921470833333,0.13888324873096453,0.15280593671240572,GRA,US-SRG,31.7894,-110.8277,GRA
0.34125000000000005,0.09956651765610244,43.383403037368595,0.022120253215384952,0.7,0.86875,143.16594453125,0.12148044208498054,0.1356180941796321,GRA,US-xCP,40.8155,-104.7456,GRA
0.75,0.24324649646677698,44.057746348479796,0.02401652357348695,3.0250000999999997,4.5875,132.150240140625,0.05532977782890183,0.08297046218399229,WET,US-ALQ,46.0308,-89.6067,WET
0.585,0.291261138662288,97.9503556535013,0.0407722504752621,1.6,3.175,205.314486810619,0.08822602490675852,0.17225466321362393,GRA,US-Mo2,38.9488,-91.9945,GRA
0.26125,0.0590474020561267,15.5402993966322,0.0200194661693708,0.3,0.4,60.5766238875,0.14023696192052973,0.18000444444444433,SAV,AU-GWW,-30.1913,120.6541,SAV
0.535,0.155637980793292,36.0469615558946,0.03405083475422265,1.5,2.4875,115.16508645833349,0.0678648010952135,0.10738431217386525,ENF,US-xJE,31.1948,-84.4686,ENF
0.4825,0.124766755555556,18.5734823654171,0.0295912749987743,0.95,1.1,62.50833797804,0.11390971279174553,0.127460875052587,WET,GL-NuF,64.1308,-51.3861,WET
0.685,0.208337032258065,46.1976583765523,0.0378507986651663,2.2,2.825,150.32801124,0.07416011343055945,0.09198647964231693,WSA,BR-Npw,-16.498,-56.412,WSA
0.385,0.109573634071168,50.7869946447521,0.0208906440405646,0.875,1.2,156.115105065,0.09717423062662207,0.13256679931779375,CSH,US-Rwe,43.0653,-116.7591,CSH
0.38187499999999996,0.0984465669842767,24.87048480412235,0.028158821094936302,0.75,1.1,95.7969832275,0.08526883710253619,0.1257853382176654,WSA,AU-Gin,-31.3764,115.7138,WSA
0.87,0.309918863942946,74.34278295365826,0.0364030565889729,4.737500075,5.25625,215.35020624999999,0.06075326232568612,0.06538905628410163,DBF,US-xTR,45.4937,-89.5857,DBF
0.475,0.121391195693964,20.9833869098697,0.0143076450068379,1.0,0.95,92.4426592708333,0.125077853363568,0.11842010549177782,WET,CA-CF1,58.6658,-93.83,WET
0.6975,0.158653824165098,21.03121023304185,0.0580647781372446,1.8250000875,2.58125,95.5946901040375,0.06018365597934071,0.08341937579483727,ENF,CZ-BK1,49.5021,18.5369,ENF
0.18,0.0618884156729131,34.2658216930439,0.0124175200463503,0.3,0.3,98.03643975,0.20676151651039534,0.21154686109399604,OSH,US-SRC,31.9083,-110.8395,OSH
0.605,0.266745006268282,83.7475770611722,0.0620283811457816,1.5,2.2125,201.885178965046,0.11541730088282902,0.18373112767940333,CRO,US-CRT,41.6285,-83.3471,CRO
0.69,0.1714283277591975,28.0796488093449,0.0431372896263477,2.0,3.1,119.2522890625885,0.055946756918486426,0.07969749929785674,ENF,FI-Hyy,61.8474,24.2948,ENF
0.6725000000000001,0.14762518322219348,28.78063711144475,0.0300618490176882,1.866666666666665,2.075,127.9523466666665,0.07508260685979178,0.08005250644963997,ENF,CA-NS5,55.8631,-98.485,ENF
0.119896907216495,0.0235693983893889,7.17428828894748,0.0468556048767665,0.15979381443299,0.125,21.3515821964611,0.137304701693191,0.16637222392509773,GRA,CN-Sw2,41.7902,111.8971,GRA
0.13625,0.054867511217948695,19.84629644073345,0.04038441318250825,0.25625,0.3,52.22923596351625,0.176179082264535,0.20945380269055947,OSH,US-Sta,41.3966,-106.8024,OSH
0.39125,0.11343858417363051,22.0923303240324,0.055372141476127706,0.675,1.075,68.21733600647345,0.11061586131287586,0.14295077695480626,GRA,US-KLS,38.7745,-97.5684,GRA
0.855,0.234642090784044,38.2574720031771,0.0364719535939507,4.212499975,4.375,139.125634375,0.05560804265654874,0.060145002770595514,MF,CA-Gro,48.2167,-82.1556,MF
0.455,0.1425275648022475,28.3720040136171,0.01477668832634305,1.05,0.875,92.66984593742501,0.16298825965216746,0.13600249264203904,GRA,CN-Du3,42.0551,116.2809,GRA
0.87625,0.181927206616352,34.2559330486542,0.021298733862902097,4.8875001125,2.21875,163.93415664062502,0.08267371753095007,0.03864289853853317,ENF,US-KS1,28.4583,-80.6709,ENF
0.3675,0.129488994431707,27.4106580069942,0.0829425871100971,0.675,1.8875,65.65270208347,0.06020633295100765,0.18194134170104,ENF,CA-TP2,42.7744,-80.4588,ENF
0.6595833333333335,0.2629611168046545,34.809987473819206,0.0291014583014244,2.183333354166665,2.99375,93.85632951548125,0.09160145621634583,0.1235648297515514,WET,DE-Zrk,53.8759,12.889,WET
0.8421875000000001,0.3877499352624755,113.720541324372,0.0380189465069975,4.579166666666666,5.6,241.7231448788495,0.06985538776860682,0.08560970856277417,DBF,US-MMS,39.3232,-86.4131,DBF
0.25,0.0640886778932282,34.6022699298739,0.0148128531029932,0.5,0.5,131.658672375,0.1264077222449815,0.1404340230200055,SAV,AU-ASM,-22.283,133.249,SAV
